N Params,Exec Time,Device
10302,0.011719465255737305,CPU
10302,0.0005691051483154297,CPU
10302,0.0007472038269042969,CPU
10302,0.00042057037353515625,CPU
10302,0.0004937648773193359,CPU
10302,0.00041294097900390625,CPU
10302,0.0005037784576416016,CPU
10302,0.0009980201721191406,CPU
10302,0.00042247772216796875,CPU
10302,0.00046753883361816406,CPU
10302,0.000400543212890625,CPU
10302,0.0003604888916015625,CPU
10302,0.0007522106170654297,CPU
10302,0.0005676746368408203,CPU
10302,0.0004029273986816406,CPU
10302,0.0003788471221923828,CPU
10302,0.0004024505615234375,CPU
10302,0.0003991127014160156,CPU
10302,0.00041794776916503906,CPU
10302,0.0003693103790283203,CPU
10302,0.0005924701690673828,CPU
10302,0.0004611015319824219,CPU
10302,0.002691507339477539,CPU
10302,0.0004622936248779297,CPU
10302,0.0003829002380371094,CPU
10302,0.0003676414489746094,CPU
10302,0.0003218650817871094,CPU
10302,0.0003612041473388672,CPU
10302,0.00039887428283691406,CPU
10302,0.0003643035888671875,CPU
10302,0.00040841102600097656,CPU
10302,0.00038743019104003906,CPU
10302,0.0004258155822753906,CPU
10302,0.0003151893615722656,CPU
10302,0.00036787986755371094,CPU
10302,0.0003719329833984375,CPU
10302,0.0005862712860107422,CPU
10302,0.0008673667907714844,CPU
10302,0.00048542022705078125,CPU
10302,0.0004699230194091797,CPU
10302,0.0004551410675048828,CPU
10302,0.000507354736328125,CPU
10302,0.0004642009735107422,CPU
10302,0.0004482269287109375,CPU
10302,0.0003795623779296875,CPU
10302,0.0004017353057861328,CPU
10302,0.00032210350036621094,CPU
10302,0.0003294944763183594,CPU
10302,0.0004253387451171875,CPU
10302,0.00032711029052734375,CPU
10302,0.0003829002380371094,CPU
10302,0.0005030632019042969,CPU
10302,0.0003619194030761719,CPU
10302,0.0003521442413330078,CPU
10302,0.0003266334533691406,CPU
10302,0.0005633831024169922,CPU
10302,0.0006258487701416016,CPU
10302,0.0005443096160888672,CPU
10302,0.0008113384246826172,CPU
10302,0.0003871917724609375,CPU
10302,0.0005216598510742188,CPU
10302,0.00039839744567871094,CPU
